DAY,Section,ROOM1,8 to 9,9 to 10,10 to 11,ROOM2,11 to 12,12 to 1,1 to 2,Section(DE),ROOM3,3 to 4,ROOM4,4 to 5,ROOM5,5 to 6
WED,CSE-7,C-LH-205,SE,HPC,DAA,X,X,X,X,AI_CS-3,X,X,C-LH-206,AI(DE),X,X
WED,CSE-8,C-WL-102,CN,CN(L),CN(L),X,X,X,X,AI_CS-4,X,X,C-LH-207,AI(DE),X,X
WED,CSE-9,C-LH-206,X,DAA,SE,C-LH-407,HPC,X,X,AI_CS-5,X,X,C-LH-208,AI(DE),X,X
WED,CSE-10,X,X,X,X,C-LH-406,SE,HPC,CN,AI_CS-6,X,X,C-LH-301,AI(DE),X,X
WED,CSE-11,C-LH-207,X,X,HPC,C-WL-101,DAA,DAA(L),DAA(L),AI_CS-7,X,X,C-LH-302,AI(DE),X,X
WED,CSE-12,C-LH-208,CN,SE,DAA,X,X,X,X,AI_CS-8,X,X,C-LH-303,AI(DE),X,X
WED,CSE-13,C-WL-103,CN,CN(L),CN(L),X,X,X,X,AI_CS-9,X,X,C-LH-304,AI(DE),X,X
WED,CSE-14,C-LH-301,X,HPC,CN,X,X,X,X,AI_CS-10,X,X,C-LH-305,AI(DE),X,X
WED,CSE-15,C-LH-302,SE,CN,DAA,C-LH-405,HPC,X,X,AI_CS-11,X,X,C-LH-306,AI(DE),X,X
WED,CSE-16,C-LH-303,X,X,HPC,C-WL-102,DAA,DAA(L),DAA(L),AI_CS-12,X,X,C-LH-307,AI(DE),X,X
WED,CSE-17,C-LH-304,X,X,HPC,C-LH-404,SE,X,X,AI_CS-13,X,X,C-LH-308,AI(DE),X,X
WED,CSE-18,C-WL-201,CN,CN(L),CN(L),C-LH-403,SE,X,X,AI_CS-14,X,X,X,X,X,X
WED,CSE-19,C-LH-305,HPC,CN,SE,C-LH-402,DAA,X,X,AI_CS-15,X,X,X,X,X,X
